system,measurement_type,is_benchmark_mode,similarity,spearmanr,spearmanr_all_points,spearmanr_pval,spearmanr_all_points_pval
TCR1,activity,False,0.997,0.02,0.52,0.83,0.00
TCR1,activity,True,0.933,-0.03,-0.09,0.77,0.22
TCR2,activity,False,0.962,0.13,0.35,0.24,0.00
TCR2,activity,True,0.932,0.44,0.40,0.00,0.00
TCR3,activity,False,0.938,0.21,0.28,0.03,0.00
TCR3,activity,True,0.929,0.11,0.34,0.27,0.00
TCR4,activity,False,0.828,0.18,0.31,0.15,0.00
TCR4,activity,True,0.816,-0.22,0.14,0.08,0.06
TCR5,activity,False,0.963,-0.02,-0.07,0.83,0.33
TCR5,activity,True,0.950,0.28,0.34,0.00,0.00
TCR6,activity,False,0.930,0.19,0.22,0.04,0.00
TCR6,activity,True,0.915,0.14,0.07,0.14,0.38
TCR7,activity,False,0.938,0.06,0.20,0.50,0.01
TCR7,activity,True,0.938,0.06,0.20,0.50,0.01
nyeso,affinity,False,0.992,0.62,0.62,0.02,0.02
nyeso,affinity,True,0.947,0.25,0.25,0.39,0.39
tax,affinity,False,0.998,0.88,0.88,0.00,0.00
tax,affinity,True,0.949,-0.14,-0.14,0.62,0.62
